"","qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","id_rank","top_perc","diff","taxonomic_level","taxon"
"13","ASV_0049","Stichaeus punctatus","Stichaeus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Stichaeus punctatus"
"14","ASV_0055","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Gasterosteus aculeatus"
"15","ASV_0062","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Pholis laeta"
"16","ASV_0063","Acantholumpenus mackayi","Acantholumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Acantholumpenus mackayi"
"17","ASV_0066","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"18","ASV_0077","Blepsias bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Blepsias bilobus"
"19","ASV_0082","Liparis greeni","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Liparis greeni"
"20","ASV_0083","Aspidophoroides olrikii","Aspidophoroides","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Aspidophoroides olrikii"
"21","ASV_0087","Eumesogrammus praecisus","Eumesogrammus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Eumesogrammus praecisus"
"22","ASV_0092","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"23","ASV_0103","Oligocottus maculosus","Oligocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Oligocottus maculosus"
"24","ASV_0105","Artedius lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Artedius lateralis"
"25","ASV_0106","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Leptoclinus maculatus"
"26","ASV_0110","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"27","ASV_0112","Aptocyclus ventricosus","Aptocyclus","Cyclopteridae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Aptocyclus ventricosus"
"28","ASV_0115","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Mallotus villosus"
"29","ASV_0117","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes personatus"
"30","ASV_0120","Triglops pingelii","Triglops","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Triglops pingelii"
"31","ASV_0123","Artedius harringtoni","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Artedius harringtoni"
"32","ASV_0125","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"33","ASV_0128","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"34","ASV_0131","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"35","ASV_0132","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Hexagrammos decagrammus"
"36","ASV_0136","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes hexapterus"
"37","ASV_0137","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"38","ASV_0138","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",98.817,1,98.817,0,"species","Ammodytes personatus"
"39","ASV_0143","Lycodes polaris","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,3,100,0.594999999999999,"species","Lycodes polaris"
"40","ASV_0144","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"41","ASV_0145","Artedius fenestralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Artedius fenestralis"
"42","ASV_0149","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes personatus"
"43","ASV_0151","Cymatogaster aggregata","Cymatogaster","Embiotocidae","","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Cymatogaster aggregata"
"44","ASV_0161","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"45","ASV_0162","Liparis greeni","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Liparis greeni"
"46","ASV_0181","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",98.817,1,98.817,0,"species","Ammodytes personatus"
"47","ASV_0184","Cymatogaster aggregata","Cymatogaster","Embiotocidae","","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Cymatogaster aggregata"
"48","ASV_0186","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"49","ASV_0188","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Lycodes palearis"
"50","ASV_0193","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes personatus"
"51","ASV_0195","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes hexapterus"
"52","ASV_0201","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes personatus"
"53","ASV_0203","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"54","ASV_0209","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",98.817,1,98.817,0,"species","Ammodytes personatus"
"55","ASV_0212","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"56","ASV_0214","Hypomesus pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",98.81,1,98.81,0,"species","Hypomesus pretiosus"
"57","ASV_0216","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Pholis laeta"
"58","ASV_0222","Hemilepidotus hemilepidotus","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Hemilepidotus hemilepidotus"
"59","ASV_0224","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"60","ASV_0228","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Clupea pallasii"
"61","ASV_0232","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"62","ASV_0234","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Pholis laeta"
"63","ASV_0244","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Mallotus villosus"
"64","ASV_0245","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"65","ASV_0249","Clinocottus acuticeps","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Clinocottus acuticeps"
"66","ASV_0254","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Gasterosteus aculeatus"
"67","ASV_0258","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"68","ASV_0265","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Mallotus villosus"
"69","ASV_0266","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Pholis laeta"
"70","ASV_0273","Trichodon trichodon","Trichodon","Trichodontidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Trichodon trichodon"
"71","ASV_0277","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Pholis laeta"
"72","ASV_0281","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",98.81,1,98.81,0,"species","Mallotus villosus"
"73","ASV_0285","Clinocottus acuticeps","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Clinocottus acuticeps"
"74","ASV_0291","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"75","ASV_0292","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,1,98.837,0,"species","Clupea pallasii"
"76","ASV_0294","Tarletonbeania crenularis","Tarletonbeania","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Tarletonbeania crenularis"
"77","ASV_0298","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,1,98.837,0,"species","Clupea pallasii"
"78","ASV_0299","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"79","ASV_0302","Triglops pingelii","Triglops","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Triglops pingelii"
"80","ASV_0307","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"81","ASV_0310","Callorhinus ursinus","Callorhinus","Otariidae","Carnivora","Mammalia","Chordata","Eukaryota",100,1,100,0,"species","Callorhinus ursinus"
"82","ASV_0313","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Clupea pallasii"
"83","ASV_0317","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Gasterosteus aculeatus"
"84","ASV_0320","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Gasterosteus aculeatus"
"85","ASV_0321","Podothecus accipenserinus","Podothecus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Podothecus accipenserinus"
"86","ASV_0322","Oligocottus maculosus","Oligocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Oligocottus maculosus"
"87","ASV_0325","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"88","ASV_0328","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"89","ASV_0330","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"90","ASV_0334","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"91","ASV_0340","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"92","ASV_0341","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.81,1,98.81,0,"species","Pholis laeta"
"93","ASV_0343","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"94","ASV_0345","Clinocottus embryum","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Clinocottus embryum"
"95","ASV_0350","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"96","ASV_0352","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"97","ASV_0354","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes personatus"
"98","ASV_0355","Hypomesus pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",98.214,1,98.214,0,"species","Hypomesus pretiosus"
"99","ASV_0358","Oligocottus maculosus","Oligocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Oligocottus maculosus"
"100","ASV_0359","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"101","ASV_0364","Gymnocanthus tricuspis","Gymnocanthus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Gymnocanthus tricuspis"
"102","ASV_0366","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"103","ASV_0368","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"104","ASV_0380","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,1,98.837,0,"species","Clupea pallasii"
"105","ASV_0386","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"106","ASV_0389","Hypsagonus quadricornis","Hypsagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Hypsagonus quadricornis"
"107","ASV_0395","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Anoplopoma fimbria"
"108","ASV_0398","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"109","ASV_0401","Lycodes raridens","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Lycodes raridens"
"110","ASV_0405","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"111","ASV_0407","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Lycodes brevipes"
"112","ASV_0415","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes hexapterus"
"113","ASV_0418","Citharichthys stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Citharichthys stigmaeus"
"114","ASV_0419","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"115","ASV_0420","Lethenteron camtschaticum","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,1,100,0,"species","Lethenteron camtschaticum"
"116","ASV_0421","Citharichthys stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"species","Citharichthys stigmaeus"
"117","ASV_0427","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"118","ASV_0428","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"119","ASV_0429","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"120","ASV_0432","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,1,98.837,0,"species","Clupea pallasii"
"121","ASV_0434","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,2,100,0.581000000000003,"species","Clupea pallasii"
"122","ASV_0436","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"123","ASV_0437","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"124","ASV_0439","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Gasterosteus aculeatus"
"125","ASV_0440","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Lycodes palearis"
"126","ASV_0442","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"127","ASV_0445","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"128","ASV_0457","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes personatus"
"129","ASV_0458","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"130","ASV_0462","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"131","ASV_0472","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"132","ASV_0474","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"133","ASV_0479","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Mallotus villosus"
"134","ASV_0480","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes hexapterus"
"135","ASV_0481","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",98.817,1,98.817,0,"species","Ammodytes personatus"
"136","ASV_0482","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"137","ASV_0485","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",98.817,1,98.817,0,"species","Ammodytes personatus"
"138","ASV_0486","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"139","ASV_0489","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"140","ASV_0491","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,2,99.419,0.581999999999994,"species","Clupea pallasii"
"141","ASV_0507","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.256,2,98.837,0.581000000000003,"species","Clupea pallasii"
"142","ASV_0508","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"143","ASV_0510","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,1,98.837,0,"species","Clupea pallasii"
"144","ASV_0511","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,1,98.837,0,"species","Clupea pallasii"
"145","ASV_0512","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes hexapterus"
"146","ASV_0517","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota",NA,NA,NA,NA,"species","Osmerus mordax"
"147","ASV_0530","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"148","ASV_0531","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"149","ASV_0532","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",100,1,100,0,"species","Erignathus barbatus"
"150","ASV_0533","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,1,100,0,"species","Phocoena phocoena"
"151","ASV_0536","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota",99.405,1,99.405,0,"species","Odobenus rosmarus"
"152","ASV_0538","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"species","Ammodytes hexapterus"
"153","ASV_0539","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",98.837,2,99.419,0.581999999999994,"species","Clupea pallasii"
"154","ASV_0540","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota",99.412,1,99.412,0,"species","Phocoena phocoena"
"155","ASV_0545","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"156","ASV_0552","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota",99.405,1,99.405,0,"species","Erignathus barbatus"
"157","ASV_0556","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"158","ASV_0564","Balaenoptera physalus","Balaenoptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota",100,1,100,0,"species","Balaenoptera physalus"
"159","ASV_0566","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"160","ASV_0569","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"161","ASV_0578","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",99.405,1,99.405,0,"species","Mallotus villosus"
"162","ASV_0579","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
"163","ASV_0580","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,1,99.419,0,"species","Clupea pallasii"
