"","ASV","taxon","taxonomic_level"
"123","ASV_0121","Gadidae","family"
"124","ASV_0122","Stichaeidae","family"
"125","ASV_0123","Artedius harringtoni","species"
"126","ASV_0124","Pleuronectidae","family"
"127","ASV_0125","Clupea pallasii","species"
"128","ASV_0125","Clupea harengus","species"
"129","ASV_0125","Sprattus sprattus","species"
"130","ASV_0126","Eleginus gracilis","species"
"131","ASV_0128","Clupea pallasii","species"
"132","ASV_0128","Clupea harengus","species"
"133","ASV_0128","Sprattus sprattus","species"
"134","ASV_0130","Pleuronectidae","family"
"135","ASV_0131","Clupea pallasii","species"
"136","ASV_0131","Clupea harengus","species"
"137","ASV_0131","Sprattus sprattus","species"
"138","ASV_0132","Hexagrammos decagrammus","species"
"139","ASV_0133","Gadidae","family"
"140","ASV_0134","Myoxocephalus","genus"
"141","ASV_0135","Gadidae","family"
"142","ASV_0136","Ammodytes","genus"
"143","ASV_0137","Clupea pallasii","species"
"144","ASV_0137","Clupea harengus","species"
"145","ASV_0137","Sprattus sprattus","species"
"146","ASV_0138","Ammodytes","genus"
"147","ASV_0139","Oncorhynchus","genus"
"148","ASV_0141","Gadidae","family"
"149","ASV_0142","Gadus","genus"
"150","ASV_0143","Lycodes sigmatoides","species"
"151","ASV_0143","Lycodes tanakae","species"
"152","ASV_0143","Lycodes polaris","species"
"153","ASV_0144","Mallotus villosus","species"
"154","ASV_0145","Artedius fenestralis","species"
"155","ASV_0146","Lycodes","genus"
"156","ASV_0147","Gadidae","family"
"157","ASV_0148","Hemilepidotus","genus"
"158","ASV_0149","Ammodytes","genus"
"159","ASV_0150","Hexagrammos","genus"
"160","ASV_0151","Cymatogaster aggregata","species"
"161","ASV_0152","Stichaeidae","family"
"162","ASV_0153","Oncorhynchus","genus"
"163","ASV_0154","Gadidae","family"
"164","ASV_0156","Oncorhynchus","genus"
"165","ASV_0157","Ammodytes","genus"
"166","ASV_0158","Gadidae","family"
"167","ASV_0160","Sebastes","genus"
"168","ASV_0161","Clupea pallasii","species"
"169","ASV_0161","Clupea harengus","species"
"170","ASV_0161","Sprattus sprattus","species"
"171","ASV_0162","Liparis","genus"
"172","ASV_0162","Polypera greeni","species"
"173","ASV_0163","Hexagrammos","genus"
"174","ASV_0164","Gadidae","family"
"175","ASV_0165","Lycodes","genus"
"176","ASV_0166","Gadus","genus"
"177","ASV_0167","Lycodes","genus"
"178","ASV_0168","Gadidae","family"
"179","ASV_0169","Gadidae","family"
"180","ASV_0170","Oncorhynchus","genus"
"181","ASV_0171","Myoxocephalus","genus"
"182","ASV_0172","Gadus chalcogrammus","species"
"183","ASV_0173","Gadus","genus"
"184","ASV_0174","Stichaeidae","family"
"185","ASV_0175","Gadidae","family"
"186","ASV_0176","Oncorhynchus","genus"
"187","ASV_0177","Gadidae","family"
"188","ASV_0178","Hexagrammos","genus"
"189","ASV_0179","Gadidae","family"
"190","ASV_0180","Gadidae","family"
"191","ASV_0181","Ammodytes","genus"
"192","ASV_0182","Boreogadus saida","species"
"193","ASV_0183","Stichaeidae","family"
"194","ASV_0184","Cymatogaster aggregata","species"
"195","ASV_0185","Sebastes","genus"
"196","ASV_0186","Clupea pallasii","species"
"197","ASV_0186","Clupea harengus","species"
"198","ASV_0186","Sprattus sprattus","species"
"199","ASV_0187","Boreogadus saida","species"
"200","ASV_0188","Lycodes fasciatus","species"
"201","ASV_0188","Lycodes palearis","species"
"202","ASV_0189","Oncorhynchus kisutch","species"
"203","ASV_0191","Bathymaster","genus"
"204","ASV_0192","Gadidae","family"
"205","ASV_0193","Ammodytes","genus"
"206","ASV_0194","Bathymaster","genus"
"207","ASV_0195","Ammodytes","genus"
"208","ASV_0197","Gadus","genus"
"209","ASV_0198","Gadidae","family"
"210","ASV_0199","Oncorhynchus","genus"
"211","ASV_0201","Ammodytes","genus"
"212","ASV_0202","Bathymaster","genus"
"213","ASV_0203","Clupea pallasii","species"
"214","ASV_0206","Gadus","genus"
"215","ASV_0209","Ammodytes","genus"
"216","ASV_0210","Stichaeidae","family"
"217","ASV_0211","Hexagrammos","genus"
"218","ASV_0212","Clupea pallasii","species"
"219","ASV_0212","Clupea harengus","species"
"220","ASV_0212","Sprattus sprattus","species"
"221","ASV_0213","Oncorhynchus","genus"
"222","ASV_0214","Hypomesus pretiosus","species"
"223","ASV_0214","Hypomesus transpacificus","species"
"224","ASV_0215","Gadus chalcogrammus","species"
"225","ASV_0216","Pholis","genus"
"226","ASV_0218","Salvelinus","genus"
"227","ASV_0219","Gadidae","family"
"228","ASV_0220","Hexagrammos","genus"
"229","ASV_0222","Hemilepidotus hemilepidotus","species"
"230","ASV_0223","Gadidae","family"
"231","ASV_0224","Mallotus villosus","species"
"232","ASV_0225","Eleginus gracilis","species"
"233","ASV_0226","Gadidae","family"
"234","ASV_0227","Pleuronectidae","family"
"235","ASV_0228","Clupea pallasii","species"
"236","ASV_0230","Bathymaster","genus"
"237","ASV_0231","Gadidae","family"
"238","ASV_0232","Clupea pallasii","species"
"239","ASV_0232","Clupea harengus","species"
"240","ASV_0232","Sprattus sprattus","species"
"241","ASV_0233","Gadidae","family"
"242","ASV_0234","Pholis","genus"
"243","ASV_0235","Stichaeidae","family"
"244","ASV_0236","Gadidae","family"
"245","ASV_0237","Ammodytes","genus"
"246","ASV_0240","Agonidae","family"
"247","ASV_0241","Oncorhynchus","genus"
"248","ASV_0242","Cottidae","family"
"249","ASV_0243","Stichaeidae","family"
"250","ASV_0244","Mallotus villosus","species"
"251","ASV_0245","Clupea pallasii","species"
"252","ASV_0245","Clupea harengus","species"
"253","ASV_0245","Sprattus sprattus","species"
"254","ASV_0246","Gadus chalcogrammus","species"
"255","ASV_0247","Stichaeidae","family"
"256","ASV_0249","Clinocottus acuticeps","species"
"257","ASV_0250","Oncorhynchus","genus"
"258","ASV_0251","Hexagrammos","genus"
"259","ASV_0252","Pleuronectidae","family"
"260","ASV_0253","Sebastidae","family"
"261","ASV_0254","Gasterosteus aculeatus","species"
"262","ASV_0254","Gasterosteus nipponicus","species"
"263","ASV_0255","Oncorhynchus","genus"
"264","ASV_0257","Gadidae","family"
"265","ASV_0258","Mallotus villosus","species"
"266","ASV_0259","Myoxocephalus","genus"
"267","ASV_0260","Gadidae","family"
"268","ASV_0262","Pleuronectidae","family"
"269","ASV_0263","Oncorhynchus","genus"
"270","ASV_0265","Mallotus villosus","species"
"271","ASV_0266","Pholis","genus"
"272","ASV_0267","Gymnelus hemifasciatus","species"
"273","ASV_0268","Gadidae","family"
"274","ASV_0269","Gadidae","family"
"275","ASV_0270","Pleuronectidae","family"
"276","ASV_0271","Salvelinus","genus"
"277","ASV_0273","Trichodon trichodon","species"
"278","ASV_0274","Oncorhynchus","genus"
"279","ASV_0276","Pleuronectidae","family"
"280","ASV_0277","Pholis","genus"
"281","ASV_0278","Gadus","genus"
"282","ASV_0279","Gadidae","family"
"283","ASV_0280","Oncorhynchus","genus"
"284","ASV_0281","Mallotus villosus","species"
"285","ASV_0282","Lycodes","genus"
"286","ASV_0283","Gadidae","family"
"287","ASV_0284","Liparis","genus"
"288","ASV_0285","Clinocottus acuticeps","species"
"289","ASV_0286","Gadus","genus"
"290","ASV_0287","Gadidae","family"
"291","ASV_0288","Oncorhynchus","genus"
"292","ASV_0289","Gadus chalcogrammus","species"
"293","ASV_0290","Salvelinus","genus"
"294","ASV_0291","Clupea pallasii","species"
"295","ASV_0291","Clupea harengus","species"
"296","ASV_0291","Sprattus sprattus","species"
"297","ASV_0292","Clupea pallasii","species"
"298","ASV_0292","Clupea harengus","species"
"299","ASV_0292","Sprattus sprattus","species"
"300","ASV_0294","Tarletonbeania crenularis","species"
"301","ASV_0295","Gadus chalcogrammus","species"
"302","ASV_0297","Gadidae","family"
"303","ASV_0298","Clupea harengus","species"
"304","ASV_0298","Clupea pallasii","species"
"305","ASV_0298","Sprattus sprattus","species"
"306","ASV_0299","Clupea pallasii","species"
"307","ASV_0299","Clupea harengus","species"
"308","ASV_0299","Sprattus sprattus","species"
"309","ASV_0301","Gadus chalcogrammus","species"
"310","ASV_0301","Gadus morhua","species"
"311","ASV_0302","Triglops pingelii","species"
"312","ASV_0303","Salvelinus","genus"
"313","ASV_0304","Oncorhynchus tshawytscha","species"
"314","ASV_0306","Gadidae","family"
"315","ASV_0307","Clupea pallasii","species"
"316","ASV_0307","Clupea harengus","species"
"317","ASV_0307","Sprattus sprattus","species"
"318","ASV_0308","Gadidae","family"
"319","ASV_0309","Gadus","genus"
"320","ASV_0310","Callorhinus ursinus","species"
"321","ASV_0311","Gadus chalcogrammus","species"
"322","ASV_0312","Pleuronectidae","family"
"323","ASV_0313","Clupea pallasii","species"
"324","ASV_0314","Sebastes","genus"
"325","ASV_0315","Hexagrammos","genus"
"326","ASV_0316","Gadidae","family"
"327","ASV_0317","Gasterosteus aculeatus","species"
"328","ASV_0319","Liparis","genus"
"329","ASV_0320","Gasterosteus aculeatus","species"
"330","ASV_0321","Podothecus accipenserinus","species"
"331","ASV_0322","Oligocottus","genus"
"332","ASV_0325","Clupea pallasii","species"
"333","ASV_0325","Clupea harengus","species"
"334","ASV_0325","Sprattus sprattus","species"
"335","ASV_0326","Gadus","genus"
"336","ASV_0327","Gadidae","family"
"337","ASV_0328","Clupea pallasii","species"
"338","ASV_0328","Clupea harengus","species"
"339","ASV_0328","Sprattus sprattus","species"
"340","ASV_0329","Gadus","genus"
"341","ASV_0330","Clupea harengus","species"
"342","ASV_0330","Clupea pallasii","species"
"343","ASV_0330","Sprattus sprattus","species"
"344","ASV_0331","Gadidae","family"
"345","ASV_0333","Pleuronectidae","family"
"346","ASV_0334","Mallotus villosus","species"
"347","ASV_0335","Anoplarchus","genus"
"348","ASV_0336","Gadidae","family"
"349","ASV_0337","Eleginus gracilis","species"
"350","ASV_0338","Gadidae","family"
"351","ASV_0339","Oncorhynchus kisutch","species"
"352","ASV_0340","Clupea pallasii","species"
"353","ASV_0340","Clupea harengus","species"
"354","ASV_0340","Sprattus sprattus","species"
"355","ASV_0341","Pholis","genus"
"356","ASV_0342","Oncorhynchus","genus"
"357","ASV_0343","Clupea pallasii","species"
"358","ASV_0343","Clupea harengus","species"
"359","ASV_0343","Sprattus sprattus","species"
"360","ASV_0344","Gadidae","family"
"361","ASV_0345","Clinocottus embryum","species"
"362","ASV_0346","Gymnelus hemifasciatus","species"
"363","ASV_0347","Gadidae","family"
"364","ASV_0348","Eleginus gracilis","species"
"365","ASV_0350","Mallotus villosus","species"
"366","ASV_0352","Clupea pallasii","species"
"367","ASV_0352","Clupea harengus","species"
"368","ASV_0352","Sprattus sprattus","species"
"369","ASV_0353","Gadidae","family"
"370","ASV_0354","Ammodytes","genus"
"371","ASV_0355","Hypomesus pretiosus","species"
"372","ASV_0355","Hypomesus transpacificus","species"
"373","ASV_0358","Oligocottus","genus"
"374","ASV_0359","Clupea pallasii","species"
"375","ASV_0359","Sprattus sprattus","species"
"376","ASV_0359","Clupea harengus","species"
"377","ASV_0360","Anoplarchus","genus"
"378","ASV_0361","Gadidae","family"
"379","ASV_0362","Gadidae","family"
"380","ASV_0363","Oncorhynchus","genus"
"381","ASV_0364","Gymnocanthus tricuspis","species"
"382","ASV_0365","Oncorhynchus kisutch","species"
"383","ASV_0366","Clupea pallasii","species"
"384","ASV_0366","Clupea harengus","species"
"385","ASV_0366","Sprattus sprattus","species"
"386","ASV_0367","Gadus chalcogrammus","species"
"387","ASV_0368","Mallotus villosus","species"
"388","ASV_0369","Pleuronectidae","family"
"389","ASV_0370","Stichaeidae","family"
"390","ASV_0371","Eleginus gracilis","species"
"391","ASV_0372","Oncorhynchus","genus"
"392","ASV_0373","Pleuronectidae","family"
"393","ASV_0376","Gadus","genus"
"394","ASV_0377","Hexagrammos","genus"
"395","ASV_0378","Gadidae","family"
"396","ASV_0379","Gadidae","family"
"397","ASV_0380","Clupea pallasii","species"
"398","ASV_0380","Clupea harengus","species"
"399","ASV_0380","Sprattus sprattus","species"
"400","ASV_0381","Hexagrammos","genus"
"401","ASV_0382","Atheresthes","genus"
"402","ASV_0383","Gadidae","family"
"403","ASV_0384","Oncorhynchus","genus"
"404","ASV_0385","Gadidae","family"
"405","ASV_0386","Clupea pallasii","species"
"406","ASV_0386","Clupea harengus","species"
"407","ASV_0386","Sprattus sprattus","species"
"408","ASV_0387","Gadidae","family"
"409","ASV_0388","Sebastes","genus"
"410","ASV_0389","Hypsagonus quadricornis","species"
"411","ASV_0389","Hypsagonus corniger","species"
"412","ASV_0390","Gymnelus hemifasciatus","species"
"413","ASV_0391","Gadidae","family"
"414","ASV_0392","Stichaeidae","family"
"415","ASV_0393","Oncorhynchus tshawytscha","species"
"416","ASV_0394","Eleginus gracilis","species"
"417","ASV_0395","Anoplopoma fimbria","species"
"418","ASV_0396","Gadidae","family"
"419","ASV_0397","Gadidae","family"
"420","ASV_0398","Clupea pallasii","species"
"421","ASV_0398","Clupea harengus","species"
"422","ASV_0398","Sprattus sprattus","species"
"423","ASV_0399","Gadidae","family"
"424","ASV_0400","Gadidae","family"
"425","ASV_0401","Lycodes raridens","species"
"426","ASV_0401","Lycodes paamiuti","species"
"427","ASV_0401","Lycodes terraenovae","species"
"428","ASV_0402","Oncorhynchus","genus"
"429","ASV_0403","Oncorhynchus","genus"
"430","ASV_0404","Gadidae","family"
"431","ASV_0405","Clupea pallasii","species"
"432","ASV_0405","Clupea harengus","species"
"433","ASV_0405","Sprattus sprattus","species"
"434","ASV_0406","Oncorhynchus","genus"
"435","ASV_0407","Lycodes brevipes","species"
"436","ASV_0408","Pleuronectidae","family"
"437","ASV_0409","Oncorhynchus tshawytscha","species"
"438","ASV_0411","Salvelinus","genus"
"439","ASV_0412","Pleuronectidae","family"
"440","ASV_0415","Ammodytes","genus"
"441","ASV_0416","Hexagrammos","genus"
"442","ASV_0417","Hexagrammos","genus"
"443","ASV_0418","Citharichthys stigmaeus","species"
"444","ASV_0419","Clupea pallasii","species"
"445","ASV_0419","Clupea harengus","species"
"446","ASV_0419","Sprattus sprattus","species"
"447","ASV_0420","Eudontomyzon morii","species"
"448","ASV_0420","Lethenteron appendix","species"
"449","ASV_0420","Lethenteron camtschaticum","species"
"450","ASV_0420","Lethenteron kessleri","species"
"451","ASV_0421","Citharichthys stigmaeus","species"
"452","ASV_0422","Pleuronectidae","family"
"453","ASV_0423","Gadidae","family"
"454","ASV_0425","Oncorhynchus","genus"
"455","ASV_0426","Stichaeidae","family"
"456","ASV_0427","Clupea pallasii","species"
"457","ASV_0427","Clupea harengus","species"
"458","ASV_0427","Sprattus sprattus","species"
"459","ASV_0428","Clupea pallasii","species"
"460","ASV_0428","Clupea harengus","species"
"461","ASV_0428","Sprattus sprattus","species"
"462","ASV_0429","Clupea pallasii","species"
"463","ASV_0429","Clupea harengus","species"
"464","ASV_0429","Sprattus sprattus","species"
"465","ASV_0430","Gadidae","family"
"466","ASV_0431","Gadus","genus"
"467","ASV_0432","Clupea pallasii","species"
"468","ASV_0432","Clupea harengus","species"
"469","ASV_0432","Sprattus sprattus","species"
"470","ASV_0433","Stichaeidae","family"
"471","ASV_0434","Sprattus sprattus","species"
"472","ASV_0434","Clupea pallasii","species"
"473","ASV_0435","Gadidae","family"
"474","ASV_0436","Mallotus villosus","species"
"475","ASV_0437","Mallotus villosus","species"
"476","ASV_0438","Hexagrammos","genus"
"477","ASV_0439","Gasterosteus aculeatus","species"
"478","ASV_0440","Lycodes fasciatus","species"
"479","ASV_0440","Lycodes palearis","species"
"480","ASV_0441","Sebastes","genus"
"481","ASV_0442","Mallotus villosus","species"
"482","ASV_0443","Gadidae","family"
"483","ASV_0444","Gadus chalcogrammus","species"
"484","ASV_0445","Clupea pallasii","species"
"485","ASV_0445","Clupea harengus","species"
"486","ASV_0445","Sprattus sprattus","species"
"487","ASV_0446","Gadus","genus"
"488","ASV_0447","Liparis","genus"
"489","ASV_0448","Oncorhynchus","genus"
"490","ASV_0449","Gadidae","family"
"491","ASV_0450","Gadidae","family"
"492","ASV_0452","Gadidae","family"
"493","ASV_0453","Oncorhynchus","genus"
"494","ASV_0454","Gadus","genus"
"495","ASV_0455","Liparis","genus"
"496","ASV_0456","Gadidae","family"
"497","ASV_0457","Ammodytes","genus"
"498","ASV_0458","Mallotus villosus","species"
"499","ASV_0459","Gadidae","family"
"500","ASV_0460","Gadidae","family"
"501","ASV_0461","Pleuronectidae","family"
"502","ASV_0462","Clupea pallasii","species"
"503","ASV_0462","Clupea harengus","species"
"504","ASV_0462","Sprattus sprattus","species"
"505","ASV_0464","Oncorhynchus tshawytscha","species"
"506","ASV_0465","Salvelinus","genus"
"507","ASV_0466","Gadus chalcogrammus","species"
"508","ASV_0467","Eleginus gracilis","species"
"509","ASV_0468","Gadidae","family"
"510","ASV_0469","Pleuronectidae","family"
"511","ASV_0470","Oncorhynchus tshawytscha","species"
"512","ASV_0471","Sebastes","genus"
"513","ASV_0472","Clupea pallasii","species"
"514","ASV_0472","Clupea harengus","species"
"515","ASV_0472","Sprattus sprattus","species"
"516","ASV_0473","Oncorhynchus","genus"
"517","ASV_0474","Clupea pallasii","species"
"518","ASV_0474","Clupea harengus","species"
"519","ASV_0474","Sprattus sprattus","species"
"520","ASV_0476","Oncorhynchus","genus"
"521","ASV_0477","Gadidae","family"
"522","ASV_0478","Gadidae","family"
"523","ASV_0479","Mallotus villosus","species"
"524","ASV_0480","Ammodytes","genus"
"525","ASV_0481","Ammodytes","genus"
"526","ASV_0482","Clupea pallasii","species"
"527","ASV_0482","Clupea harengus","species"
"528","ASV_0482","Sprattus sprattus","species"
"529","ASV_0485","Ammodytes","genus"
"530","ASV_0486","Clupea pallasii","species"
"531","ASV_0487","Gadidae","family"
"532","ASV_0489","Clupea pallasii","species"
"533","ASV_0489","Clupea harengus","species"
"534","ASV_0489","Sprattus sprattus","species"
"535","ASV_0490","Oncorhynchus","genus"
"536","ASV_0491","Clupea harengus","species"
"537","ASV_0491","Clupea pallasii","species"
"538","ASV_0492","Oncorhynchus","genus"
"539","ASV_0495","Liparis","genus"
"540","ASV_0496","Gadidae","family"
"541","ASV_0497","Pleuronectidae","family"
"542","ASV_0499","Gadus chalcogrammus","species"
"543","ASV_0501","Oncorhynchus","genus"
"544","ASV_0504","Gadidae","family"
"545","ASV_0507","Sprattus sprattus","species"
"546","ASV_0507","Clupea pallasii","species"
"547","ASV_0508","Clupea pallasii","species"
"548","ASV_0508","Clupea harengus","species"
"549","ASV_0508","Sprattus sprattus","species"
"550","ASV_0509","Oncorhynchus","genus"
"551","ASV_0510","Clupea pallasii","species"
"552","ASV_0510","Clupea harengus","species"
"553","ASV_0510","Sprattus sprattus","species"
"554","ASV_0511","Clupea pallasii","species"
"555","ASV_0511","Clupea harengus","species"
"556","ASV_0511","Sprattus sprattus","species"
"557","ASV_0512","Ammodytes","genus"
"558","ASV_0513","Oncorhynchus","genus"
"559","ASV_0514","Oncorhynchus","genus"
"560","ASV_0517","Osmerus mordax","species"
"561","ASV_0518","Gadus","genus"
"562","ASV_0519","Pleuronectidae","family"
"563","ASV_0520","Gadidae","family"
"564","ASV_0521","Gadidae","family"
"565","ASV_0522","Gadidae","family"
"566","ASV_0524","Gadidae","family"
"567","ASV_0526","Gadidae","family"
"568","ASV_0527","Oncorhynchus","genus"
"569","ASV_0529","Gadus","genus"
"570","ASV_0530","Clupea pallasii","species"
"571","ASV_0530","Clupea harengus","species"
"572","ASV_0530","Sprattus sprattus","species"
"573","ASV_0531","Clupea pallasii","species"
"574","ASV_0531","Clupea harengus","species"
"575","ASV_0531","Sprattus sprattus","species"
"576","ASV_0532","Erignathus barbatus","species"
"577","ASV_0533","Phocoena phocoena","species"
"578","ASV_0534","Gadidae","family"
"579","ASV_0535","Eleginus gracilis","species"
"580","ASV_0536","Odobenus rosmarus","species"
"581","ASV_0537","Gadidae","family"
"582","ASV_0538","Ammodytes","genus"
"583","ASV_0539","Sprattus sprattus","species"
"584","ASV_0539","Clupea pallasii","species"
"585","ASV_0540","Phocoena phocoena","species"
"586","ASV_0541","Eleginus gracilis","species"
"587","ASV_0542","Gadidae","family"
"588","ASV_0544","Gadidae","family"
"589","ASV_0545","Clupea pallasii","species"
"590","ASV_0545","Clupea harengus","species"
"591","ASV_0545","Sprattus sprattus","species"
"592","ASV_0546","Oncorhynchus","genus"
"593","ASV_0548","Oncorhynchus","genus"
"594","ASV_0549","Oncorhynchus","genus"
"595","ASV_0550","Gadidae","family"
"596","ASV_0551","Gadus chalcogrammus","species"
"597","ASV_0552","Erignathus barbatus","species"
"598","ASV_0553","Oncorhynchus","genus"
"599","ASV_0554","Gadidae","family"
"600","ASV_0556","Clupea pallasii","species"
"601","ASV_0556","Clupea harengus","species"
"602","ASV_0556","Sprattus sprattus","species"
"603","ASV_0557","Gadus","genus"
"604","ASV_0558","Gadidae","family"
"605","ASV_0559","Gadidae","family"
"606","ASV_0561","Oncorhynchus tshawytscha","species"
"607","ASV_0562","Gadus chalcogrammus","species"
"608","ASV_0563","Oncorhynchus tshawytscha","species"
"609","ASV_0564","Balaenoptera physalus","species"
"610","ASV_0565","Gadidae","family"
"611","ASV_0566","Clupea pallasii","species"
"612","ASV_0566","Clupea harengus","species"
"613","ASV_0566","Sprattus sprattus","species"
"614","ASV_0567","Gadidae","family"
"615","ASV_0568","Oncorhynchus","genus"
"616","ASV_0569","Clupea pallasii","species"
"617","ASV_0569","Clupea harengus","species"
"618","ASV_0569","Sprattus sprattus","species"
"619","ASV_0570","Gadidae","family"
"620","ASV_0571","Oncorhynchus","genus"
"621","ASV_0572","Gadidae","family"
"622","ASV_0573","Gadidae","family"
"623","ASV_0574","Gadidae","family"
"624","ASV_0577","Gadidae","family"
"625","ASV_0578","Mallotus villosus","species"
"626","ASV_0579","Clupea pallasii","species"
"627","ASV_0579","Clupea harengus","species"
"628","ASV_0579","Sprattus sprattus","species"
"629","ASV_0580","Clupea pallasii","species"
"630","ASV_0580","Clupea harengus","species"
"631","ASV_0580","Sprattus sprattus","species"
"632","ASV_0581","Clupea pallasii","species"
"633","ASV_0581","Clupea harengus","species"
"634","ASV_0581","Sprattus sprattus","species"
"635","ASV_0582","Gadus","genus"
"636","ASV_0583","Zaprora silenus","species"
"637","ASV_0584","Gasterosteus aculeatus","species"
"638","ASV_0585","Oncorhynchus kisutch","species"
"639","ASV_0586","Oncorhynchus tshawytscha","species"
"640","ASV_0587","Oncorhynchus","genus"
"641","ASV_0588","Oncorhynchus kisutch","species"
