qseqid,taxon,taxonomic_level,species,genus,family,order,class,phylum,kingdom,seq_percID,id_rank,top_perc,diff
ASV_0844,Hemilepidotus,genus,Hemilepidotus jordani,Hemilepidotus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0844,Hemilepidotus,genus,Hemilepidotus papilio,Hemilepidotus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0936,Myoxocephalus 2,genus,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0936,Myoxocephalus 2,genus,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0936,Myoxocephalus 2,genus,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0947,Myoxocephalus 2,genus,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0947,Myoxocephalus 2,genus,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0947,Myoxocephalus 2,genus,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_1039,Myoxocephalus 2,genus,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1039,Myoxocephalus 2,genus,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1039,Myoxocephalus 2,genus,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1107,Artediellus,genus,Artediellus pacificus,Artediellus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1107,Artediellus,genus,Artediellus scaber,Artediellus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1132,Myoxocephalus 2,genus,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1132,Myoxocephalus 2,genus,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1132,Myoxocephalus 2,genus,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1291,Myoxocephalus 2,genus,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1291,Myoxocephalus 2,genus,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1291,Myoxocephalus 2,genus,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1383,Myoxocephalus 1,genus,Myoxocephalus quadricornis,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1383,Myoxocephalus 1,genus,Myoxocephalus scorpius,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_1392,Myoxocephalus 2,genus,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
ASV_1392,Myoxocephalus 2,genus,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
ASV_1392,Myoxocephalus 2,genus,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
ASV_1452,Myoxocephalus 1,genus,Myoxocephalus quadricornis,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
ASV_1452,Myoxocephalus 1,genus,Myoxocephalus scorpius,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
